char_name,nu03,nu11,nu12,on_pixel_frac,on_pixel_x_var,on_pixel_y_var,font_name,dct_0,dct_1,dct_2,dct_3,dct_4,dct_5
zero,-4.2613688340487636e-05,4.6113053090155025e-05,0.0006114973247174673,0.03538928210313448,10.62530612244898,7.7338775510204085,arial,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,-0.00019946754223974577,0.00015980997925874174,0.0004921273809358152,0.02708124373119358,8.91358024691358,1.876543209876543,arial,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,0.00017138336293538777,-9.20831393239142e-05,0.0008746090003967818,0.04918032786885246,13.468315972222221,7.58984375,arial,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,1.965436255544608e-06,-1.7486185913128627e-05,0.0005602092660115056,0.038539553752535496,10.776315789473685,7.5872576177285325,arial,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-3.6166576802097654e-05,2.79516087195143e-05,0.00034833591060237645,0.038539553752535496,6.390581717451522,5.7368421052631575,arial,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-5.4552792884263964e-05,-7.922030517684321e-06,0.00024791222547746844,0.04383282364933741,9.669010275824771,8.769064359113033,arial,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,1.9844518067167868e-05,-2.151413898632736e-05,-1.4427856738479294e-05,0.04918032786885246,8.789930555555555,9.412760416666666,arial,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.0007076093592586836,-2.8024633001441792e-05,-0.00010858169306080549,0.038539553752535496,10.831024930747922,5.468836565096954,arial,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,-4.330827437404984e-05,-1.2341852108815973e-05,-0.0003748500473035404,0.0513347022587269,8.96,8.5924,arial,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-6.749400467392203e-05,-4.720659387741433e-05,-0.0005342037712784178,0.04703476482617587,9.132797731568996,9.270793950850662,arial,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,0.00019606243590061313,0.0002450828748788582,-0.00010179525482826355,0.005893909626719057,1.1388888888888888,0.25,arial,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,7.318447940396847e-06,-7.896243547647882e-06,0.00104194727201251,0.05458290422245108,8.74047703809185,7.060163759344963,arialbd,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,-0.0003149049467596861,0.00028253274380971174,0.0008123822693065716,0.04065040650406504,9.399375000000001,2.2943749999999996,arialbd,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,5.02444133112381e-05,5.523615633627981e-05,0.0011713435005576646,0.06334371754932502,12.506852996506316,7.222252082773448,arialbd,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
