label,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14,eig_15,eig_16
zero,15.420569280652565,0.4278694065430289,0.15156131280440766,4.4004847018267657e-16,-7.267618390346473e-17,-7.267618390346473e-17,-1.2081528501952549e-16,-1.2081528501952549e-16,9.232392420131178e-18,-6.679641606291104e-17,6.408589068109274e-11,-6.408578401990158e-11,6.842277657836021e-49,8.85927774418131e-33,0.0,0.0
one,15.554091061610336,0.22295446919483947,0.22295446919483947,-2.4452763181564476e-16,1.8602373384147304e-16,-3.848788370855461e-17,-3.848788370855461e-17,3.500996232502488e-31,3.500996232502488e-31,-2.9234856874966025e-46,-1.7153846746087319e-47,0.0,-1.5314451660361403e-61,-1.9176146348819244e-93,-2.5908505665283334e-77,0.0
two,15.491413433564901,-0.9147979844811471,0.42338455091625965,2.2013924965311908e-16,2.2013924965311908e-16,-2.1816841250557187e-16,2.5936346776324807e-16,6.099706292142886e-17,6.099706292142886e-17,-1.6629836329055723e-18,-1.6629836329055723e-18,3.026560599784631e-17,5.473822126268817e-48,2.002967142162728e-32,0.0,0.0
three,15.31033021986235,-0.9061068495587807,0.12225278150933098,0.12225278150933098,0.3512710666777741,2.90479540989617e-16,-1.7149739959117385e-17,-1.7149739959117385e-17,-2.9295921567168846e-16,2.095938510803559e-17,2.095938510803559e-17,-1.083940146560128e-17,-3.851859888774472e-34,-4.9873299934333204e-18,0.0,0.0
four,15.50379030377499,-0.8270317627567941,0.16162072949090456,0.16162072949090456,-7.39693115612145e-17,-7.39693115612145e-17,3.6825894874257444e-17,3.6825894874257444e-17,1.0,1.3998319712976682e-16,-1.4532866661570835e-17,6.649039441049663e-32,-4.7939969445240866e-64,-3.3735033418337674e-80,0.0,0.0
five,15.300597117260171,0.6415484623785546,-0.6058397722247618,-0.33630580741395544,1.176081017257351e-16,1.176081017257351e-16,3.146569841582063e-16,-1.859206402600084e-16,-6.457696083290068e-17,-6.457696083290068e-17,6.377408396904978e-17,-1.7130905976540355e-18,5.135813185032655e-34,0.0,0.0,0.0
six,15.301277561821982,-0.7562559391861041,-0.7562559391861041,-0.6889958346210747,-0.09976984882869673,2.603620664780938e-16,2.603620664780938e-16,1.967605988212835e-16,1.967605988212835e-16,-1.1697301195585322e-16,5.097370209505943e-17,-2.772080201959697e-31,9.587993889048175e-64,0.0,0.0,0.0
seven,15.523399473622995,-0.8493887312861824,-0.5312504806214647,-0.14276026171534706,2.53297820180539e-15,2.53297820180539e-15,-3.601979117725333e-16,2.180147625369497e-16,2.180147625369497e-16,1.2682068485834887e-17,1.7516230804060213e-46,2.9276217017169403e-30,-3.025437415427229e-93,0.0,0.0,0.0
eight,15.239230736785307,-1.5805074018603558,-0.4888682311134095,-0.16985510381153382,-1.88956369055296e-16,-1.88956369055296e-16,-1.3243387905179344e-16,1.3535341099566247e-16,6.328577133547642e-17,2.339250122153293e-31,2.339250122153293e-31,-6.305779443284309e-32,-1.0176775326537006e-63,0.0,0.0,0.0
nine,15.22139119342744,-0.6106955967137153,-0.6106955967137153,6.162982594826458e-16,6.162982594826458e-16,2.2121308561792193e-16,2.2121308561792193e-16,-6.361735092500165e-16,-6.361735092500165e-16,2.671410443085753e-16,-1.2779201414726407e-16,-2.2685967063969775e-17,0.0,0.0,0.0,0.0
